month_start,avg_vwap_eur_mwh,total_traded_volume_mwh,buy_volume_mwh,sell_volume_mwh,import_volume_mwh,export_volume_mwh,trading_intervals,net_sidc_mwh,avg_spread,median_spread,p10_spread,p90_spread
2025-02-01,168.5890763693609,112523.66,91641.54,20881.45,19834.550000000003,0.0,2665.0,19834.550000000003,0.49850074962518764,-0.8200000000000216,-36.205999999999996,37.391999999999975
2025-03-01,132.4719434113516,88431.87,69928.48,18502.5,19071.75,0.0,2863.0,19071.75,1.1135127478753541,0.4449999999999932,-27.545,27.360000000000003
2025-04-01,115.50658096946154,78730.3,58375.07,20354.574999999997,22646.25,0.0,2710.0,22646.25,2.3236080870917575,-0.020000000000010232,-27.868000000000002,34.30000000000005
2025-05-01,119.24537308418167,84409.1,62087.39,22320.375,21411.824999999997,0.0,2876.0,21411.824999999997,4.696788321167883,3.549999999999997,-25.253999999999998,38.79600000000002
2025-06-01,130.5461756420684,79205.73999999999,58005.259999999995,21199.15,22017.65,0.0,2722.0,22017.65,3.4264364207221356,3.8900000000000006,-33.61600000000001,32.85199999999998
2025-07-01,130.05264204225168,94286.91,72142.78,22143.824999999997,27203.850000000002,0.0,2927.0,27203.850000000002,-2.472162534435262,0.865000000000002,-34.07,23.39
2025-08-01,113.32079284517924,66529.13,50724.67,15803.1,19276.875,0.0,2732.0,19276.875,3.939362962962963,4.290000000000006,-24.342,28.33400000000001
2025-09-01,137.59327228075549,76507.28,60834.45,15671.825,16099.8,0.0,2660.0,16099.8,4.420221893491124,2.224999999999999,-32.464999999999996,44.03500000000001
2025-10-01,158.8072186284338,101493.01999999999,85509.34,15983.224999999999,14957.737500000001,0.0,2910.0,14957.737500000001,1.4153519211152672,-1.7199999999999989,-50.23000000000002,54.71000000000001
2025-11-01,133.83968470598646,100359.66,81203.03,19156.2,15789.224999999999,0.0,2851.0,15789.224999999999,-2.981479805013928,-2.920000000000009,-35.126,30.73700000000001
2025-12-01,130.83518950577204,97748.20999999999,83073.88,14673.875,14839.4,0.0,2953.0,14839.4,-0.8303505224132122,-2.549999999999997,-30.262,29.444
