month_start,base_avg,p10,p25,p50,p75,p90,min_price,max_price,std_dev,count,peak_avg,offpeak_avg,peak_offpeak_spread
2019-02-01,230.86690476190475,151.913,183.06,229.0,274.49,319.0,73.01,405.31,63.166585919252825,672,261.40126623376625,205.03013736263736,56.37112887112889
2019-03-01,182.85314939434727,78.47800000000001,145.88,187.81,228.95,262.4340000000001,4.82,369.49,67.4368856776929,743,197.0707331378299,170.792960199005,26.27777293882491
2019-04-01,214.5076388888889,129.0,167.26,206.975,268.0,309.043,5.0,400.0,72.31598889437979,720,221.2399090909091,208.81110256410255,12.42880652680654
2019-05-01,193.8524059139785,113.828,158.9875,197.65,238.1625,266.504,0.01,356.8,64.98519174308986,744,199.5376832844575,189.04178660049627,10.495896683961234
2019-06-01,183.74094444444447,77.59200000000001,133.095,181.85500000000002,244.95,281.536,0.1,368.01,76.74178328310579,720,205.24990909090909,165.54105128205128,39.7088578088578
2019-07-01,261.43103494623654,174.482,205.75,267.68,312.32,343.85400000000004,84.47,400.0,64.70045468940904,744,289.5853372434018,237.60816377171216,51.97717347168964
2019-08-01,284.5153360215054,153.689,204.935,268.34000000000003,339.0,444.083,1.0,638.98,108.50407017761593,744,321.14697947214074,253.51933002481388,67.62764944732686
2019-09-01,287.302125,177.666,209.9475,267.385,320.0,408.4160000000003,66.51,750.0,124.76215034576596,720,315.4187878787879,263.51110256410254,51.90768531468535
2019-10-01,272.60492617449665,162.674,196.42,280.0,333.35,358.104,83.66,612.0,86.86186496371334,745,308.2391495601173,242.52752475247524,65.71162480764207
2019-11-01,203.76859722222224,123.014,156.0425,205.29,251.0375,278.053,1.0,642.0,68.90379580294912,720,243.18527272727272,170.41602564102564,72.76924708624708
2019-12-01,197.66798387096776,100.0,140.115,187.0,251.7725,299.79,0.1,598.98,86.88158861544994,744,243.14357771260998,159.188635235732,83.95494247687799
2020-01-01,252.33181451612901,160.114,197.92,246.72,299.0775,343.35600000000005,61.0,500.0,73.77525204338612,744,285.9868914956012,223.85444168734492,62.13244980825627
2020-02-01,193.66408045977013,133.51,160.1125,193.73,225.7275,259.99,53.85,341.54,49.16897195278985,696,213.56664576802507,176.82344827586206,36.743197492163006
2020-03-01,143.17281292059218,81.602,109.0,138.81,178.425,211.288,5.56,307.73,52.37640871923921,743,151.3609384164223,136.22716417910448,15.133774237317823
2020-04-01,123.31708333333334,50.044999999999995,89.9825,120.72999999999999,154.94,193.269,0.01,401.98,57.72736819541593,720,113.28224242424243,131.80810256410257,-18.525860139860143
2020-05-01,120.28069892473118,51.126,87.0575,111.57,155.08749999999998,193.56600000000003,0.1,319.0,54.1779065517159,744,112.88395894428153,126.5394789081886,-13.655519963907068
2020-06-01,146.64006944444446,82.371,108.0075,147.905,184.54,208.464,23.23,268.0,48.63747854186449,720,153.036,141.2281282051282,11.8078717948718
2020-07-01,179.32653225806453,118.8,145.0575,183.83,213.005,235.06100000000004,48.0,297.0,46.07158068456296,744,187.08703812316716,172.75995037220844,14.327087750958725
2020-08-01,183.15405913978495,122.581,142.115,185.3,216.9425,246.727,49.23,406.98,49.416389935611114,744,191.58093841642227,176.02362282878414,15.55731558763813
2020-09-01,222.7704722222222,141.299,168.16000000000003,220.22,267.5425,303.859,88.04,550.0,67.00880480662659,720,235.8872424242424,211.67166666666665,24.21557575757575
2020-10-01,205.95210738255034,124.916,163.64,205.99,248.0,287.452,1.95,451.98,70.35161984279102,745,231.12791788856305,184.70222772277228,46.42569016579077
2020-11-01,236.9585138888889,145.0,175.85999999999999,230.62,278.325,336.59200000000004,1.0,585.19,85.93633760936353,720,279.971696969697,200.5627435897436,79.4089533799534
2020-12-01,284.0261693548387,157.536,198.725,245.51999999999998,342.2725,489.13600000000014,0.66,730.38,132.35103500845688,744,356.768064516129,222.47533498759304,134.29272952853597
2021-01-01,271.3901747311828,170.174,215.62,268.80999999999995,319.0,375.709,23.13,600.98,83.70526543620784,744,318.16381231671556,231.81248138957815,86.35133092713741
2021-02-01,234.2839880952381,146.11800000000002,185.23,232.18,287.575,327.26800000000003,1.0,508.0,78.96871123027742,672,270.89120129870133,203.30865384615387,67.58254745254746
2021-03-01,265.9798519515478,197.0,223.95,260.5,297.88,337.31,127.28,478.09,56.8840108265398,743,273.07542521994134,259.96097014925374,13.114455070687598
2021-04-01,309.02334722222224,211.992,270.0225,306.86,352.04,411.474,0.1,594.98,84.19843234422827,720,304.9913030303031,312.4350769230769,-7.443773892773834
2021-05-01,289.37806451612903,185.446,244.6075,297.2,344.39750000000004,394.26099999999997,9.74,485.31,86.90196798919007,744,278.30868035190616,298.7444665012407,-20.435786149334547
2021-06-01,230.2945,68.913,90.00750000000001,255.785,360.0925,416.45200000000006,1.0,529.98,141.9484948866459,720,227.06336363636365,233.02853846153846,-5.965174825174813
2021-07-01,93.86951612903225,67.688,76.2625,91.56,108.14500000000001,128.24,27.71,180.05,25.170579148642386,744,98.14181818181818,90.25449131513648,7.887326866681704
2021-08-01,112.64940860215054,74.083,81.08500000000001,107.935,132.47750000000002,172.77,14.99,214.26,38.0327946810564,744,120.18771260997067,106.27084367245658,13.916868937514096
2021-09-01,133.795625,90.09,106.185,130.035,162.0525,184.568,19.61,242.96,36.40561558798868,720,139.2141515151515,129.21071794871796,10.003433566433557
2021-10-01,192.18856375838928,105.768,148.44,196.69,238.97,279.132,3.77,350.0,67.6951669345357,745,206.9957478005865,179.69042079207918,27.305327008507334
2021-11-01,212.61911111111112,118.61,169.9875,210.06,259.85749999999996,300.0,32.98,404.11,66.7382122613649,720,250.72772727272726,180.37335897435898,70.35436829836829
2021-12-01,230.2921370967742,99.619,134.06,217.79000000000002,300.475,387.9550000000002,9.7,542.5,110.83276959585571,744,287.3932258064516,181.97583126550867,105.41739454094292
2022-01-01,191.83936827956987,95.432,134.5625,195.375,248.785,285.958,7.07,399.46,77.09319682723756,744,226.2183284457478,162.74947890818856,63.46884953755924
2022-02-01,188.67589285714286,121.197,150.0675,189.325,222.15,264.78799999999995,7.66,364.07,56.020231717172784,672,202.98964285714285,176.56425824175824,26.425384615384615
2022-03-01,274.4879004037685,138.41,204.06,264.0,339.375,429.52200000000016,1.26,663.96,116.31075175474058,743,279.83759530791787,269.9499751243781,9.887620183539752
2022-04-01,174.00241666666668,64.839,132.6525,183.115,228.565,265.981,0.45,450.05,75.03620422038871,720,163.3307878787879,183.03225641025642,-19.70146853146852
2022-05-01,202.235376344086,138.41,169.8975,204.71,232.5275,262.41400000000004,13.57,424.51,52.448608672443626,744,187.86797653958945,214.3924069478908,-26.524430408301356
2022-06-01,230.02263888888888,145.51000000000002,174.16,217.995,276.6,349.059,20.23,479.0,78.88177895889011,720,221.98863636363637,236.82064102564104,-14.832004662004664
2022-07-01,367.08540322580643,184.189,272.715,375.03999999999996,438.85249999999996,549.952,20.48,770.11,138.58972431499149,744,367.2443988269795,366.95086848635236,0.2935303406271146
2022-08-01,490.27594086021503,319.303,383.9175,473.32,585.1675,714.056,86.52,964.21,152.21760784927582,744,493.0385337243402,487.9383622828784,5.100171441461782
2022-09-01,379.3004027777778,209.512,302.8075,380.065,460.025,530.7090000000001,28.45,742.72,124.44385958341043,720,386.9804848484848,372.80187179487183,14.178613053612992
2022-10-01,206.17369127516778,100.0,132.94,174.64,255.0,344.156,30.53,696.38,107.40098703234925,745,212.11343108504397,201.16019801980198,10.953233065241989
2022-11-01,222.2640972222222,125.25999999999999,159.6575,213.175,271.52,330.34000000000003,44.7,503.55,86.78397889784964,720,261.0641818181818,189.4332564102564,71.63092540792539
2022-12-01,248.1192876344086,37.489999999999995,129.03,239.64,353.69,464.87600000000003,0.17,708.58,157.50575413327215,744,313.3124046920821,192.95588089330025,120.35652379878186
2023-01-01,136.0578494623656,29.488999999999994,98.20750000000001,143.17,177.32999999999998,206.357,0.0,362.31,67.78776890314062,744,167.97469208211143,109.05129032258064,58.92340175953079
2023-02-01,142.44474702380953,90.44800000000001,125.165,146.025,164.5675,187.04199999999997,1.01,317.66,40.87225247755086,672,148.4618181818182,137.3533791208791,11.108439060939077
2023-03-01,108.64541049798115,52.67,89.82,111.56,136.865,153.56000000000003,0.45,217.09,40.7180882282309,743,103.83026392961878,112.72990049751243,-8.899636567893651
2023-04-01,97.39583333333333,26.987000000000002,80.0,103.655,124.78999999999999,140.949,0.02,209.6,41.02707207752609,720,83.75463636363637,108.93838461538462,-25.183748251748256
2023-05-01,87.13271505376343,25.702,73.55,90.265,109.6225,128.74,-23.18,273.36,38.62524240565768,744,70.40850439882698,101.28397022332507,-30.875465824498093
2023-06-01,85.12593055555556,23.706000000000014,69.205,89.96000000000001,107.10499999999999,132.95,-16.96,183.68,37.83812031252557,720,69.80160606060606,98.09266666666666,-28.291060606060597
2023-07-01,96.82729838709676,19.14,81.855,99.94999999999999,120.63250000000001,143.90200000000002,-0.04,270.49,46.634366738092744,744,84.83029325513196,106.97861042183622,-22.14831716670426
2023-08-01,101.67786290322582,39.993,79.3775,97.49000000000001,118.8725,151.91200000000006,0.0,384.82,56.64167232950189,744,88.12671554252199,113.14421836228288,-25.017502819760892
2023-09-01,103.18006944444444,64.964,87.22,98.695,116.70750000000001,142.19000000000003,-0.09,436.89,44.54734827709615,720,91.75739393939394,112.84541025641026,-21.088016317016326
2023-10-01,106.08123489932886,40.06,79.2,103.56,133.05,164.63600000000002,-1.1,313.59,49.73746970402691,745,108.32715542521993,104.18554455445545,4.141610870764481
2023-11-01,102.13604166666666,27.212000000000007,74.97749999999999,101.36500000000001,129.785,156.904,0.0,259.96,50.485585789290674,720,120.19927272727273,86.85176923076924,33.34750349650349
2023-12-01,81.0101747311828,9.86,42.455,87.39,120.7875,133.60500000000002,-0.01,231.37,47.134058853520266,744,98.04950146627566,66.59228287841191,31.45721858786375
2024-01-01,87.57048387096775,55.017,70.2675,88.39500000000001,106.6025,122.0,0.0,190.96,28.79341142731945,744,96.5658357771261,79.95903225806452,16.60680351906157
2024-02-01,69.79554597701149,43.64,57.025,69.97,85.3,96.05,7.67,130.97,22.016299181050783,696,71.59278996865203,68.27480106100795,3.3179889076440787
2024-03-01,63.50040376850606,17.858,52.76,66.22,78.1,94.73000000000002,-1.8,165.02,27.86359039406217,743,56.743284457478005,69.23218905472636,-12.488904597248357
2024-04-01,59.951763888888884,0.8190000000000006,33.587500000000006,66.255,83.59,104.89300000000001,-65.06,196.53,39.69929414106547,720,42.50451515151515,74.71482051282051,-32.21030536130536
2024-05-01,81.67772849462366,27.700999999999993,66.595,85.0,99.475,126.79400000000004,-106.36,208.06,39.30743221071823,744,62.20123167155425,98.15784119106699,-35.956609519512746
2024-06-01,97.76575,8.834000000000005,67.97500000000001,92.735,116.485,168.80400000000003,-10.08,421.93,61.85157196814367,720,69.60248484848485,121.59620512820511,-51.993720279720264
2024-07-01,145.13904569892472,48.36599999999999,88.06,104.69999999999999,140.47,287.15,-4.02,916.72,140.02059917298735,744,101.63774193548387,181.947841191067,-80.31009925558313
2024-08-01,126.89317204301076,55.590999999999994,88.96000000000001,112.66499999999999,134.315,204.63900000000007,-0.42,763.79,89.61633212458713,744,100.95768328445747,148.83858560794044,-47.88090232348297
2024-09-01,109.6325138888889,12.73,69.9975,93.66499999999999,121.7575,177.71300000000002,-3.95,1021.61,111.14915850374935,720,90.50133333333333,125.8204358974359,-35.319102564102565
2024-10-01,89.58106040268456,13.128000000000005,57.88,86.95,116.9,159.112,-12.62,325.34,53.432575348910916,745,87.29372434017596,91.51170792079209,-4.217983580616135
2024-11-01,168.02931944444444,91.884,105.1,126.61,178.88,320.21200000000005,29.89,775.01,119.21368594112732,720,207.73954545454546,134.42835897435896,73.3111864801865
2024-12-01,141.06756720430107,83.468,101.09,121.3,160.45,196.76600000000005,13.47,843.29,80.1382477200504,744,167.25715542521993,118.90714640198512,48.35000902323482
2025-01-01,139.4244758064516,90.183,110.2975,129.24,156.105,189.218,13.13,603.3,56.86539411310455,744,155.63642228739002,125.70667493796526,29.92974734942476
2025-02-01,157.191875,112.258,124.5725,143.175,178.85,218.39499999999998,50.11,471.56,53.609977034240295,672,161.26928571428573,153.74175824175825,7.527527472527481
2025-03-01,106.48632570659488,15.192000000000002,79.975,108.48,136.63,168.66000000000003,-23.53,326.71,55.15707668512744,743,88.00665689149561,122.16186567164179,-34.15520878014618
2025-04-01,86.43931944444444,0.009000000000000057,64.83250000000001,93.115,112.3775,144.248,-100.46,308.0,53.37809702188779,720,54.445727272727275,113.51082051282052,-59.06509324009324
2025-05-01,85.89162634408602,3.0,52.197500000000005,92.60499999999999,113.7225,146.16700000000006,-100.63,361.77,57.75782892907625,744,50.42099706744868,115.90523573200991,-65.48423866456123
2025-06-01,86.1072638888889,2.3110000000000017,39.945,91.56,116.115,154.45,-39.63,408.74,59.80503167380383,720,46.06875757575758,119.986,-73.91724242424243
2025-07-01,103.52708333333332,51.345,81.96,100.735,117.63250000000001,154.411,-0.01,419.08,51.47512338026235,744,79.13108504398828,124.16985111662531,-45.03876607263703
2025-08-01,78.31220430107527,0.653,39.5525,87.05,104.9925,131.056,-60.57,304.92,51.53601345290196,744,44.19475073313783,107.1808188585608,-62.98606812542297
2025-09-01,97.029625,9.947000000000003,70.795,93.485,121.7025,166.134,-53.4,425.83,64.18591746073608,720,74.07706060606061,116.45102564102565,-42.37396503496504
2025-10-01,121.85728249916023,71.214,87.48,103.99,145.28,197.54000000000002,0.01,561.15,65.0183238169119,2977,119.69692082111438,123.68414755114694,-3.9872267300325603
2025-11-01,121.48397222222223,81.97500000000001,93.2975,108.55000000000001,136.995,174.84,5.12,362.76,47.58254828401929,2880,134.98653787878789,110.05872435897435,24.92781351981354
2025-12-01,117.65223790322581,83.11500000000001,93.2775,110.23,132.415,159.83499999999998,24.41,392.9,35.87829298233465,2976,130.7924193548387,106.53362282878413,24.258796526054567
2026-01-01,150.48790322580646,88.965,105.47,128.10500000000002,171.07,241.48000000000002,10.23,524.76,71.76954402192241,2976,175.317353372434,129.47836848635237,45.83898488608165
2026-02-01,109.33703465346535,59.736000000000004,93.6475,107.37,132.625,155.684,0.01,339.23,40.56011858931116,2020,115.24591991341991,104.35545620437956,10.890463709040347
