date,eur_ron
2010-10-11,4.2662
2010-10-12,4.2766
2010-10-13,4.275
2010-10-14,4.2858
2010-10-15,4.2779
2010-10-16,4.2779
2010-10-17,4.2779
2010-10-18,4.2875
2010-10-19,4.2995
2010-10-20,4.3064
2010-10-21,4.3178
2010-10-22,4.2986
2010-10-23,4.2986
2010-10-24,4.2986
2010-10-25,4.2668
2010-10-26,4.2771
2010-10-27,4.2752
2010-10-28,4.2671
2010-10-29,4.2686
2010-10-30,4.2686
2010-10-31,4.2686
2010-11-01,4.2764
2010-11-02,4.2919
2010-11-03,4.291
2010-11-04,4.2899
2010-11-05,4.2913
2010-11-06,4.2913
2010-11-07,4.2913
2010-11-08,4.2875
2010-11-09,4.2812
2010-11-10,4.2774
2010-11-11,4.2848
2010-11-12,4.295
2010-11-13,4.295
2010-11-14,4.295
2010-11-15,4.2924
2010-11-16,4.2965
2010-11-17,4.2974
2010-11-18,4.3002
2010-11-19,4.3014
2010-11-20,4.3014
2010-11-21,4.3014
2010-11-22,4.2988
2010-11-23,4.3127
2010-11-24,4.3042
2010-11-25,4.3004
2010-11-26,4.3129
2010-11-27,4.3129
2010-11-28,4.3129
2010-11-29,4.3047
2010-11-30,4.2965
2010-12-01,4.2978
2010-12-02,4.2935
2010-12-03,4.3036
2010-12-04,4.3036
2010-12-05,4.3036
2010-12-06,4.3085
2010-12-07,4.2962
2010-12-08,4.3007
2010-12-09,4.2987
2010-12-10,4.2944
2010-12-11,4.2944
2010-12-12,4.2944
2010-12-13,4.2872
2010-12-14,4.2865
2010-12-15,4.2904
2010-12-16,4.2912
2010-12-17,4.2888
2010-12-18,4.2888
2010-12-19,4.2888
2010-12-20,4.2905
2010-12-21,4.2865
2010-12-22,4.2834
2010-12-23,4.2858
2010-12-24,4.2895
2010-12-25,4.2895
2010-12-26,4.2895
2010-12-27,4.2894
2010-12-28,4.2875
2010-12-29,4.2982
2010-12-30,4.2875
2010-12-31,4.2408
2011-01-01,4.2408
2011-01-02,4.2408
2011-01-03,4.2725
2011-01-04,4.2725
2011-01-05,4.27
2011-01-06,4.2605
2011-01-07,4.2635
2011-01-08,4.2635
2011-01-09,4.2635
2011-01-10,4.2635
2011-01-11,4.2576
2011-01-12,4.2542
2011-01-13,4.2608
2011-01-14,4.2665
2011-01-15,4.2665
2011-01-16,4.2665
2011-01-17,4.2582
2011-01-18,4.2578
2011-01-19,4.2624
2011-01-20,4.2687
2011-01-21,4.271
2011-01-22,4.271
2011-01-23,4.271
2011-01-24,4.2677
2011-01-25,4.2564
2011-01-26,4.2675
2011-01-27,4.269
2011-01-28,4.2619
2011-01-29,4.2619
2011-01-30,4.2619
2011-01-31,4.2577
2011-02-01,4.2582
2011-02-02,4.2595
2011-02-03,4.2625
2011-02-04,4.2587
2011-02-05,4.2587
2011-02-06,4.2587
2011-02-07,4.2572
2011-02-08,4.2554
2011-02-09,4.2559
2011-02-10,4.264
2011-02-11,4.2554
2011-02-12,4.2554
2011-02-13,4.2554
2011-02-14,4.2479
2011-02-15,4.2553
2011-02-16,4.2485
2011-02-17,4.2466
2011-02-18,4.245
2011-02-19,4.245
2011-02-20,4.245
2011-02-21,4.2294
2011-02-22,4.2296
2011-02-23,4.2333
2011-02-24,4.2307
2011-02-25,4.2168
2011-02-26,4.2168
2011-02-27,4.2168
2011-02-28,4.2098
2011-03-01,4.2075
2011-03-02,4.2008
2011-03-03,4.21
2011-03-04,4.2073
2011-03-05,4.2073
2011-03-06,4.2073
2011-03-07,4.1976
2011-03-08,4.1916
2011-03-09,4.194
2011-03-10,4.1951
2011-03-11,4.1873
2011-03-12,4.1873
2011-03-13,4.1873
2011-03-14,4.1799
2011-03-15,4.1752
2011-03-16,4.179
2011-03-17,4.1724
2011-03-18,4.1696
2011-03-19,4.1696
2011-03-20,4.1696
2011-03-21,4.1557
2011-03-22,4.1286
2011-03-23,4.1023
2011-03-24,4.0952
2011-03-25,4.0863
2011-03-26,4.0863
2011-03-27,4.0863
2011-03-28,4.11
2011-03-29,4.1182
2011-03-30,4.105
2011-03-31,4.1231
2011-04-01,4.1327
2011-04-02,4.1327
2011-04-03,4.1327
2011-04-04,4.1215
2011-04-05,4.1088
2011-04-06,4.1067
2011-04-07,4.1168
2011-04-08,4.1159
2011-04-09,4.1159
2011-04-10,4.1159
2011-04-11,4.1105
2011-04-12,4.1127
2011-04-13,4.108
2011-04-14,4.1006
2011-04-15,4.0925
2011-04-16,4.0925
2011-04-17,4.0925
2011-04-18,4.0925
2011-04-19,4.0853
2011-04-20,4.0876
2011-04-21,4.089
2011-04-22,4.0757
2011-04-23,4.0757
2011-04-24,4.0757
2011-04-25,4.0747
2011-04-26,4.075
2011-04-27,4.0751
2011-04-28,4.0796
2011-04-29,4.0752
2011-04-30,4.0752
2011-05-01,4.0752
2011-05-02,4.0948
2011-05-03,4.1073
2011-05-04,4.1089
2011-05-05,4.1154
2011-05-06,4.114
2011-05-07,4.114
2011-05-08,4.114
2011-05-09,4.0984
2011-05-10,4.089
2011-05-11,4.0922
2011-05-12,4.1159
2011-05-13,4.1134
2011-05-14,4.1134
2011-05-15,4.1134
2011-05-16,4.1046
2011-05-17,4.1117
2011-05-18,4.1275
2011-05-19,4.1109
2011-05-20,4.1113
2011-05-21,4.1113
2011-05-22,4.1113
2011-05-23,4.1238
2011-05-24,4.1233
2011-05-25,4.1372
2011-05-26,4.1316
2011-05-27,4.132
2011-05-28,4.132
2011-05-29,4.132
2011-05-30,4.1257
2011-05-31,4.1285
2011-06-01,4.1328
2011-06-02,4.1376
2011-06-03,4.1307
2011-06-04,4.1307
2011-06-05,4.1307
2011-06-06,4.1392
2011-06-07,4.1558
2011-06-08,4.1723
2011-06-09,4.1626
2011-06-10,4.1627
2011-06-11,4.1627
2011-06-12,4.1627
2011-06-13,4.1749
2011-06-14,4.1712
2011-06-15,4.1845
2011-06-16,4.2353
2011-06-17,4.2358
2011-06-18,4.2358
2011-06-19,4.2358
2011-06-20,4.2486
2011-06-21,4.2322
